PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
Elijah Higgins,TE,ARI,14,26.1,-146.7,59,0.0
Adam Trautman,TE,DEN,10,25.9,-147.0,60,0.0
Tanner Koziol,TE,JAX,7,25.1,-147.8,61,0.0
Brock Wright,TE,DET,6,23.5,-149.3,62,0.0
Marlin Klein,TE,HOU,8,23.2,-149.6,63,0.0
Ben Sinnott,TE,WSH,7,22.8,-150.0,64,0.0
Drew Ogletree,TE,IND,13,21.8,-151.0,65,0.0
Charlie Kolar,TE,LAC,7,20.4,-152.4,66,0.0
Ben Sims,TE,MIA,6,19.0,-153.8,67,0.0
Oscar Delp,TE,NO,8,17.7,-155.1,68,0.0
Julian Hill,TE,NE,11,17.2,-155.6,69,0.0
